ID Invoice,Kota,Produk,Jumlah Barang,Total Harga,Metode Pembayaran
750-67-8428,Bogor,Morinaga Chil Kid Platinum,7,100985,Ewallet
226-31-3081,Bekasi,Diabetasol,5,135316,Cash
631-41-3108,Bogor,Diabetasol Wafer,7,196574,Credit card
123-19-1176,Bogor,Fitbar Multigrain Chocolate,8,35033,Ewallet
373-73-7910,Bogor,Fitbar Multigrain Chocolate,7,101863,Ewallet
699-14-3026,Bekasi,Fitbar Multigrain Raisins,7,142766,Ewallet
355-53-5943,Bogor,Fitbar Multigrain Raisins,6,81503,Ewallet
315-22-5665,Bekasi,Fitbar Multigrain Chocolate,10,18133,Ewallet
665-32-9167,Bogor,Morinaga Chil Kid Platinum,2,183703,Credit card
692-92-5582,Jakarta,Fitbar Multigrain Chocolate,3,26953,Credit card
351-62-0822,Jakarta,Hydro Coco,4,186168,Ewallet
529-56-3974,Jakarta,Diabetasol Wafer,4,151796,Cash
365-64-0515,Bogor,Diabetasol,5,108477,Ewallet
252-56-2699,Bogor,Fitbar Multigrain Raisins,10,166527,Ewallet
829-34-3910,Bogor,Diabetasol,10,76566,Cash
299-46-1805,Jakarta,Diabetasol,6,38352,Cash
656-95-9349,Bogor,Diabetasol,7,92360,Credit card
765-26-6951,Bogor,Hydro Coco,6,112880,Credit card
329-62-1586,Bogor,Hydro Coco,3,82551,Credit card
319-50-3348,Jakarta,Fitbar Multigrain Raisins,2,166367,Ewallet
300-71-4605,Bekasi,Hydro Coco,5,21193,Ewallet
371-85-5789,Jakarta,Fitbar Multigrain Chocolate,3,86721,Ewallet
273-16-6619,Jakarta,Diabetasol,2,98461,Credit card
636-48-8204,Bogor,Fitbar Multigrain Chocolate,5,47727,Ewallet
549-59-1358,Bogor,Fitbar Multigrain Raisins,3,188470,Ewallet
227-03-5010,Bogor,Morinaga Chil Kid Platinum,8,28690,Credit card
649-29-6775,Jakarta,Fitbar Multigrain Raisins,1,194351,Cash
189-17-4241,Bogor,Hydro Coco,2,173228,Credit card
145-94-9061,Jakarta,Diabetasol Wafer,5,134436,Cash
848-62-7243,Bogor,Hydro Coco,9,172703,Cash
871-79-8483,Jakarta,Fitbar Multigrain Raisins,5,85991,Credit card
149-71-6266,Jakarta,Hydro Coco,9,113012,Cash
640-49-2076,Jakarta,Fitbar Multigrain Chocolate,8,117728,Cash
595-11-5460,Bogor,Hydro Coco,2,161715,Credit card
183-56-6882,Bekasi,Morinaga Chil Kid Platinum,4,80626,Ewallet
