id_order,id_produk,nama_produk,kategori_produk,tanggal_pembelian,kuantitas,total_harga,PPN,bayar_cash,metode_bayar
1,3,hic1000 vitamin lemon,beverages,2023-04-09,5,39452,0.1,1,cash
2,6,nutrive benecol,special needs,2023-05-01,1,33732,0.1,1,cash
3,6,nutrive benecol,special needs,2023-03-22,,23035,0.1,1,cash
4,5,prenagen lova,woman,2023-04-12,2,31237,0.1,0,link aja
5,6,nutrive benecol,special needs,2023-01-20,5,32000,0.1,1,cash
6,3,hic1000 vitamin lemon,beverages,2023-03-15,2,63192,0.1,1,cash
7,1,entrasol active,adult,2023-03-31,,36584,0.1,1,cash
8,5,prenagen lova,woman,2023-05-14,3,36426,0.1,0,ovo
9,3,hic1000 vitamin lemon,beverages,2023-01-15,3,,0.1,1,cash
10,1,entrasol active,adult,2023-04-08,1,31084,0.1,0,shopeepay
11,6,nutrive benecol,special needs,2023-05-14,1,58106,0.1,1,cash
12,5,prenagen lova,woman,2023-01-13,2,,0.1,0,ovo
13,2,prenagen esensis,woman,2023-04-27,4,45469,0.1,1,cash
14,5,prenagen lova,woman,2023-03-18,1,69824,0.1,1,cash
15,3,hic1000 vitamin lemon,beverages,2023-02-03,2,51744,0.1,1,cash
16,1,entrasol active,adult,2023-03-14,1,38640,0.1,1,cash
17,5,prenagen lova,woman,2023-03-06,5,42999,0.1,0,dana
18,4,prenagen mommy,woman,2023-01-04,1,69007,0.1,1,cash
19,2,prenagen esensis,woman,2023-01-23,2,54810,0.1,0,gopay
20,1,entrasol active,adult,2023-03-26,4,62281,0.1,0,dana
21,3,hic1000 vitamin lemon,beverages,2023-01-11,,33456,0.1,1,cash
22,4,prenagen mommy,woman,2023-02-19,3,34313,0.1,0,dana
23,1,entrasol active,adult,2023-03-29,1,,0.1,0,ovo
24,6,nutrive benecol,special needs,2023-01-25,3,68604,0.1,1,cash
25,5,prenagen lova,woman,2023-02-03,2,56649,0.1,0,gopay
26,1,entrasol active,adult,2023-05-13,,28961,0.1,0,gopay
27,2,prenagen esensis,woman,2023-02-08,2,55539,0.1,1,cash
28,6,nutrive benecol,special needs,2023-02-01,5,45963,0.1,0,link aja
29,4,prenagen mommy,woman,2023-04-02,3,59866,0.1,1,cash
30,3,hic1000 vitamin lemon,beverages,2023-02-18,1,55225,0.1,0,link aja
31,6,nutrive benecol,special needs,2023-01-05,5,48498,0.1,1,cash
32,2,prenagen esensis,woman,2023-03-08,4,34266,0.1,1,cash
33,4,prenagen mommy,woman,2023-05-06,5,,0.1,0,dana
34,3,hic1000 vitamin lemon,beverages,2023-01-01,4,68504,0.1,1,cash
35,5,prenagen lova,woman,2023-02-06,1,32565,0.1,1,cash
36,5,prenagen lova,woman,2023-02-07,2,50636,0.1,1,cash
37,2,prenagen esensis,woman,2023-03-07,4,,0.1,0,dana
38,2,prenagen esensis,woman,2023-01-23,4,41460,0.1,1,cash
39,5,prenagen lova,woman,2023-03-29,5,48985,0.1,0,shopeepay
40,4,prenagen mommy,woman,2023-04-17,3,23890,0.1,1,cash
41,5,prenagen lova,woman,2023-01-04,1,68719,0.1,1,cash
42,5,prenagen lova,woman,2023-04-11,2,50709,0.1,1,cash
43,4,prenagen mommy,woman,2023-03-31,1,20436,0.1,0,link aja
44,3,hic1000 vitamin lemon,beverages,2023-04-11,3,40323,0.1,1,cash
45,2,prenagen esensis,woman,2023-04-06,1,32542,0.1,0,link aja
46,3,hic1000 vitamin lemon,beverages,2023-05-11,2,28565,0.1,1,cash
47,4,prenagen mommy,woman,2023-04-11,2,69594,0.1,1,cash
48,6,nutrive benecol,special needs,2023-05-08,2,48295,0.1,0,ovo
49,3,hic1000 vitamin lemon,beverages,2023-01-07,3,27646,0.1,0,link aja
50,4,prenagen mommy,woman,2023-02-07,3,32354,0.1,1,cash
51,3,hic1000 vitamin lemon,beverages,2023-01-03,7,63811,0.1,0,gopay
52,1,entrasol active,adult,2023-04-22,3,17392,0.1,1,cash
53,4,prenagen mommy,woman,2023-03-25,3,66295,0.1,1,cash
54,6,nutrive benecol,special needs,2023-03-14,5,44507,0.1,0,ovo
55,2,prenagen esensis,woman,2023-03-22,6,66884,0.1,0,gopay
56,1,entrasol active,adult,2023-04-17,7,59647,0.1,0,gopay
57,6,nutrive benecol,special needs,2023-01-23,1,32385,0.1,1,cash
58,2,prenagen esensis,woman,2023-03-03,1,33471,0.1,0,link aja
59,1,entrasol active,adult,2023-02-16,2,67853,0.1,1,cash
60,1,entrasol active,adult,2023-01-10,3,21598,0.1,1,cash
61,4,prenagen mommy,woman,2023-03-25,3,37364,0.1,0,gopay
62,6,nutrive benecol,special needs,2023-03-28,1,29902,0.1,1,cash
63,4,prenagen mommy,woman,2023-04-07,,19683,0.1,0,dana
64,1,entrasol active,adult,2023-04-23,4,51241,0.1,1,cash
65,2,prenagen esensis,woman,2023-02-05,5,17389,0.1,1,cash
66,5,prenagen lova,woman,2023-02-24,2,51620,0.1,0,dana
67,2,prenagen esensis,woman,2023-01-12,5,48243,0.1,1,cash
68,5,prenagen lova,woman,2023-03-04,3,54985,0.1,1,cash
69,6,nutrive benecol,special needs,2023-01-21,2,60989,0.1,1,cash
70,4,prenagen mommy,woman,2023-02-09,4,30928,0.1,1,cash
71,4,prenagen mommy,woman,2023-02-21,5,52171,0.1,1,cash
72,4,prenagen mommy,woman,2023-02-23,4,29075,0.1,1,cash
73,6,nutrive benecol,special needs,2023-03-25,4,53923,0.1,1,cash
74,2,prenagen esensis,woman,2023-03-21,5,69400,0.1,1,cash
75,6,nutrive benecol,special needs,2023-03-24,7,29877,0.1,1,cash
76,6,nutrive benecol,special needs,2023-01-25,,25375,,1,cash
77,2,prenagen esensis,woman,2023-01-12,7,31770,0.1,1,cash
78,1,entrasol active,adult,2023-05-07,3,51985,0.1,1,cash
79,6,nutrive benecol,special needs,2023-01-06,7,65515,0.1,1,cash
80,3,hic1000 vitamin lemon,beverages,2023-02-26,1,60772,0.1,1,cash
81,6,nutrive benecol,special needs,2023-02-01,4,54761,0.1,0,dana
82,5,prenagen lova,woman,2023-05-06,2,28381,0.1,1,cash
83,5,prenagen lova,woman,2023-02-03,5,20401,0.1,0,dana
84,6,nutrive benecol,special needs,2023-04-13,7,44007,0.1,0,dana
85,5,prenagen lova,woman,2023-03-08,5,57244,0.1,0,link aja
86,5,prenagen lova,woman,2023-04-10,5,67194,0.1,0,dana
87,2,prenagen esensis,woman,2023-02-20,3,46532,0.1,0,link aja
88,4,prenagen mommy,woman,2023-02-17,6,52704,0.1,1,cash
89,6,nutrive benecol,special needs,2023-03-29,3,61573,0.1,0,dana
90,3,hic1000 vitamin lemon,beverages,2023-04-27,1,49915,0.1,1,cash
91,5,prenagen lova,woman,2023-02-05,5,69099,0.1,1,cash
92,4,prenagen mommy,woman,2023-01-03,4,49119,0.1,1,cash
93,3,hic1000 vitamin lemon,beverages,2023-01-15,3,66653,0.1,1,cash
94,5,prenagen lova,woman,2023-03-06,4,51085,0.1,0,link aja
95,6,nutrive benecol,special needs,2023-04-23,5,47688,0.1,0,shopeepay
96,6,nutrive benecol,special needs,2023-01-13,7,54678,0.1,0,link aja
97,5,prenagen lova,woman,2023-04-24,6,31845,0.1,1,cash
98,3,hic1000 vitamin lemon,beverages,2023-03-03,6,22446,0.1,1,cash
99,5,prenagen lova,woman,2023-02-22,2,30235,0.1,0,shopeepay
100,1,entrasol active,adult,2023-05-03,2,23479,0.1,0,dana
101,5,prenagen lova,woman,2023-04-09,3,49832,0.1,0,link aja
102,4,prenagen mommy,woman,2023-03-28,6,34206,0.1,1,cash
103,4,prenagen mommy,woman,2023-01-14,6,64285,0.1,0,link aja
104,2,prenagen esensis,woman,2023-04-20,1,50888,0.1,0,dana
105,1,entrasol active,adult,2023-02-13,2,36282,0.1,1,cash
106,5,prenagen lova,woman,2023-04-21,5,20112,0.1,0,ovo
107,3,hic1000 vitamin lemon,beverages,2023-04-17,2,37387,0.1,1,cash
108,3,hic1000 vitamin lemon,beverages,2023-01-25,3,26481,0.1,1,cash
109,6,nutrive benecol,special needs,2023-02-20,1,56464,0.1,0,dana
110,3,hic1000 vitamin lemon,beverages,2023-04-23,2,25303,0.1,1,cash
111,4,prenagen mommy,woman,2023-04-23,2,59620,0.1,1,cash
112,4,prenagen mommy,woman,2023-01-03,6,67880,0.1,0,ovo
113,3,hic1000 vitamin lemon,beverages,2023-04-20,1,29785,0.1,0,dana
114,2,prenagen esensis,woman,2023-03-01,4,60232,0.1,1,cash
115,2,prenagen esensis,woman,2023-03-07,2,27104,0.1,1,cash
116,5,prenagen lova,woman,2023-03-10,7,63195,0.1,1,cash
117,5,prenagen lova,woman,2023-05-15,5,45469,0.1,1,cash
118,1,entrasol active,adult,2023-03-16,3,22907,0.1,0,dana
119,6,nutrive benecol,special needs,2023-02-27,6,33972,0.1,1,cash
120,3,hic1000 vitamin lemon,beverages,2023-02-25,5,23869,0.1,1,cash
121,3,hic1000 vitamin lemon,beverages,2023-04-28,2,54691,0.1,1,cash
122,6,nutrive benecol,special needs,2023-02-18,3,33673,0.1,0,dana
123,3,hic1000 vitamin lemon,beverages,2023-04-13,3,28180,0.1,0,shopeepay
124,6,nutrive benecol,special needs,2023-02-26,1,36193,0.1,1,cash
125,3,hic1000 vitamin lemon,beverages,2023-01-13,1,55417,0.1,0,ovo
126,1,entrasol active,adult,2023-05-04,3,36848,0.1,1,cash
127,5,prenagen lova,woman,2023-04-30,1,46456,0.1,1,cash
128,5,prenagen lova,woman,2023-01-23,2,18690,0.1,0,dana
129,1,entrasol active,adult,2023-03-05,7,65642,0.1,1,cash
130,1,entrasol active,adult,2023-01-10,2,24365,0.1,1,cash
131,3,hic1000 vitamin lemon,beverages,2023-05-15,7,54346,0.1,0,dana
132,6,nutrive benecol,special needs,2023-02-11,2,39137,0.1,1,cash
133,1,entrasol active,adult,2023-03-03,5,23395,0.1,0,shopeepay
134,5,prenagen lova,woman,2023-05-07,4,53352,0.1,0,link aja
135,2,prenagen esensis,woman,2023-05-01,6,59315,0.1,1,cash
136,3,hic1000 vitamin lemon,beverages,2023-04-29,1,41856,0.1,0,ovo
137,3,hic1000 vitamin lemon,beverages,2023-03-02,1,50758,0.1,1,cash
138,3,hic1000 vitamin lemon,beverages,2023-04-06,1,38132,0.1,1,cash
139,2,prenagen esensis,woman,2023-05-04,3,28577,0.1,1,cash
140,1,entrasol active,adult,2023-02-04,6,55002,0.1,0,link aja
141,6,nutrive benecol,special needs,2023-05-02,4,64969,0.1,0,ovo
142,3,hic1000 vitamin lemon,beverages,2023-02-25,7,48275,0.1,1,cash
143,2,prenagen esensis,woman,2023-04-06,6,65723,0.1,0,link aja
144,1,entrasol active,adult,2023-01-25,7,34578,0.1,1,cash
145,6,nutrive benecol,special needs,2023-01-20,1,32798,0.1,0,shopeepay
146,4,prenagen mommy,woman,2023-05-02,2,66856,0.1,0,ovo
147,6,nutrive benecol,special needs,2023-02-06,7,22637,0.1,1,cash
148,5,prenagen lova,woman,2023-03-03,6,27687,0.1,1,cash
149,6,nutrive benecol,special needs,2023-04-07,2,43198,0.1,0,ovo
150,1,entrasol active,adult,2023-03-16,4,60973,0.1,1,cash
151,4,prenagen mommy,woman,2023-03-16,7,28944,0.1,1,cash
152,3,hic1000 vitamin lemon,beverages,2023-04-18,7,45561,0.1,0,dana
153,5,prenagen lova,woman,2023-04-22,6,20369,0.1,1,cash
154,4,prenagen mommy,woman,2023-02-07,6,60193,0.1,1,cash
155,4,prenagen mommy,woman,2023-02-28,7,57119,0.1,1,cash
156,2,prenagen esensis,woman,2023-03-06,6,27083,0.1,1,cash
157,4,prenagen mommy,woman,2023-02-04,5,54257,0.1,0,link aja
158,5,prenagen lova,woman,2023-04-19,2,39058,0.1,0,dana
159,5,prenagen lova,woman,2023-03-07,7,67615,0.1,1,cash
160,6,nutrive benecol,special needs,2023-03-26,3,23201,0.1,1,cash
161,4,prenagen mommy,woman,2023-04-03,4,44905,0.1,1,cash
162,2,prenagen esensis,woman,2023-03-24,3,21091,0.1,0,dana
163,3,hic1000 vitamin lemon,beverages,2023-02-19,7,34763,0.1,1,cash
164,1,entrasol active,adult,2023-04-08,3,30525,0.1,1,cash
165,1,entrasol active,adult,2023-04-24,4,53009,0.1,1,cash
166,4,prenagen mommy,woman,2023-04-04,4,18587,0.1,0,gopay
167,1,entrasol active,adult,2023-05-15,6,20702,0.1,0,link aja
168,3,hic1000 vitamin lemon,beverages,2023-05-12,7,61777,0.1,1,cash
169,3,hic1000 vitamin lemon,beverages,2023-02-25,2,64315,0.1,0,ovo
170,4,prenagen mommy,woman,2023-05-14,3,33909,0.1,0,dana
171,1,entrasol active,adult,2023-05-12,6,24944,0.1,0,ovo
172,6,nutrive benecol,special needs,2023-04-08,5,65914,0.1,0,ovo
173,6,nutrive benecol,special needs,2023-04-26,7,62077,0.1,0,dana
174,4,prenagen mommy,woman,2023-02-27,6,60748,0.1,1,cash
175,6,nutrive benecol,special needs,2023-04-24,1,62402,0.1,0,dana
176,2,prenagen esensis,woman,2023-01-18,4,39650,0.1,0,ovo
177,3,hic1000 vitamin lemon,beverages,2023-04-06,3,,0.1,0,gopay
178,5,prenagen lova,woman,2023-03-10,1,47081,0.1,1,cash
179,3,hic1000 vitamin lemon,beverages,2023-04-25,1,26310,0.1,0,ovo
180,2,prenagen esensis,woman,2023-01-27,5,55435,0.1,0,link aja
181,5,prenagen lova,woman,2023-04-19,2,55241,0.1,1,cash
182,2,prenagen esensis,woman,2023-04-07,5,62723,0.1,0,link aja
183,5,prenagen lova,woman,2023-04-24,4,54721,0.1,1,cash
184,2,prenagen esensis,woman,2023-05-02,3,19106,0.1,1,cash
185,6,nutrive benecol,special needs,2023-02-02,7,33064,0.1,1,cash
186,2,prenagen esensis,woman,2023-03-07,6,34049,0.1,1,cash
187,5,prenagen lova,woman,2023-04-24,4,30064,0.1,0,gopay
188,1,entrasol active,adult,2023-05-07,7,26275,0.1,0,link aja
189,3,hic1000 vitamin lemon,beverages,2023-03-23,2,38649,0.1,1,cash
190,4,prenagen mommy,woman,2023-01-07,4,46720,0.1,1,cash
191,6,nutrive benecol,special needs,2023-03-21,2,17780,0.1,0,link aja
192,6,nutrive benecol,special needs,2023-04-19,1,56688,0.1,1,cash
193,3,hic1000 vitamin lemon,beverages,2023-05-02,1,24083,0.1,0,shopeepay
194,6,nutrive benecol,special needs,2023-01-12,5,65219,0.1,0,shopeepay
195,1,entrasol active,adult,2023-01-04,4,62917,0.1,1,cash
196,4,prenagen mommy,woman,2023-01-05,3,53565,0.1,0,link aja
197,6,nutrive benecol,special needs,2023-03-15,3,25273,0.1,1,cash
198,3,hic1000 vitamin lemon,beverages,2023-02-12,5,19643,0.1,0,dana
199,1,entrasol active,adult,2023-02-23,3,62751,0.1,1,cash
200,3,hic1000 vitamin lemon,beverages,2023-04-30,5,31315,0.1,1,cash
201,6,nutrive benecol,special needs,2023-02-10,3,61402,0.1,1,cash
202,6,nutrive benecol,special needs,2023-04-20,1,47192,0.1,1,cash
203,6,nutrive benecol,special needs,2023-05-07,6,59559,0.1,1,cash
204,5,prenagen lova,woman,2023-05-13,7,49917,0.1,0,link aja
205,1,entrasol active,adult,2023-03-11,3,31798,0.1,1,cash
206,4,prenagen mommy,woman,2023-03-15,1,33684,0.1,0,dana
207,6,nutrive benecol,special needs,2023-04-25,7,38194,0.1,1,cash
208,6,nutrive benecol,special needs,2023-03-25,7,58032,0.1,0,link aja
209,2,prenagen esensis,woman,2023-05-14,7,23328,0.1,0,dana
210,2,prenagen esensis,woman,2023-02-24,5,55272,0.1,1,cash
